loudness,1198,lwhsdeviceph21,"May 17, 2019 at 08:25AM"
loudness,1190,lwhsdeviceph21,"May 17, 2019 at 08:30AM"
loudness,1173,lwhsdeviceph21,"May 17, 2019 at 08:35AM"
loudness,0,lwhsdeviceph21,"May 17, 2019 at 08:40AM"
loudness,1210,lwhsdeviceph21,"May 17, 2019 at 08:45AM"
loudness,1168,lwhsdeviceph21,"May 17, 2019 at 08:50AM"
loudness,1180,lwhsdeviceph21,"May 17, 2019 at 08:55AM"
loudness,1170,lwhsdeviceph21,"May 17, 2019 at 09:00AM"
loudness,1164,lwhsdeviceph21,"May 17, 2019 at 09:05AM"
loudness,1160,lwhsdeviceph21,"May 17, 2019 at 09:10AM"
loudness,1160,lwhsdeviceph21,"May 17, 2019 at 09:15AM"
loudness,1179,lwhsdeviceph21,"May 17, 2019 at 09:20AM"
loudness,1160,lwhsdeviceph21,"May 17, 2019 at 09:25AM"
loudness,1161,lwhsdeviceph21,"May 17, 2019 at 09:30AM"
loudness,1161,lwhsdeviceph21,"May 17, 2019 at 09:35AM"
loudness,1163,lwhsdeviceph21,"May 17, 2019 at 09:40AM"
loudness,1159,lwhsdeviceph21,"May 17, 2019 at 09:45AM"
loudness,1134,lwhsdeviceph21,"May 17, 2019 at 09:50AM"
loudness,1168,lwhsdeviceph21,"May 17, 2019 at 09:55AM"
loudness,1124,lwhsdeviceph21,"May 17, 2019 at 10:00AM"
loudness,1116,lwhsdeviceph21,"May 17, 2019 at 10:05AM"
loudness,1102,lwhsdeviceph21,"May 17, 2019 at 10:10AM"
loudness,1143,lwhsdeviceph21,"May 17, 2019 at 10:15AM"
loudness,1124,lwhsdeviceph21,"May 17, 2019 at 10:20AM"
loudness,1145,lwhsdeviceph21,"May 17, 2019 at 10:25AM"
loudness,1128,lwhsdeviceph21,"May 17, 2019 at 10:30AM"
loudness,1138,lwhsdeviceph21,"May 17, 2019 at 10:35AM"
loudness,1132,lwhsdeviceph21,"May 17, 2019 at 10:40AM"
loudness,1183,lwhsdeviceph21,"May 17, 2019 at 10:45AM"
loudness,1071,lwhsdeviceph21,"May 17, 2019 at 11:41AM"
loudness,1069,lwhsdeviceph21,"May 17, 2019 at 11:46AM"
loudness,1074,lwhsdeviceph21,"May 17, 2019 at 11:51AM"
loudness,1073,lwhsdeviceph21,"May 17, 2019 at 11:56AM"
loudness,1080,lwhsdeviceph21,"May 17, 2019 at 12:01PM"
loudness,1078,lwhsdeviceph21,"May 17, 2019 at 12:06PM"
loudness,1094,lwhsdeviceph21,"May 17, 2019 at 12:11PM"
loudness,1102,lwhsdeviceph21,"May 17, 2019 at 12:16PM"
loudness,1112,lwhsdeviceph21,"May 17, 2019 at 12:21PM"
loudness,1089,lwhsdeviceph21,"May 17, 2019 at 12:26PM"
loudness,1069,lwhsdeviceph21,"May 17, 2019 at 12:31PM"
loudness,1060,lwhsdeviceph21,"May 17, 2019 at 12:36PM"
loudness,1061,lwhsdeviceph21,"May 17, 2019 at 12:41PM"
loudness,1064,lwhsdeviceph21,"May 17, 2019 at 12:46PM"
loudness,1063,lwhsdeviceph21,"May 17, 2019 at 12:51PM"
loudness,1064,lwhsdeviceph21,"May 17, 2019 at 12:56PM"
loudness,1082,lwhsdeviceph21,"May 17, 2019 at 01:01PM"
loudness,1055,lwhsdeviceph21,"May 17, 2019 at 01:06PM"
loudness,1053,lwhsdeviceph21,"May 17, 2019 at 01:11PM"
loudness,1043,lwhsdeviceph21,"May 17, 2019 at 01:16PM"
loudness,1038,lwhsdeviceph21,"May 17, 2019 at 01:21PM"
loudness,1085,lwhsdeviceph21,"May 17, 2019 at 01:27PM"
loudness,1075,lwhsdeviceph21,"May 17, 2019 at 01:32PM"
loudness,1046,lwhsdeviceph21,"May 17, 2019 at 01:37PM"
loudness,1044,lwhsdeviceph21,"May 17, 2019 at 01:42PM"
loudness,1129,lwhsdeviceph21,"May 17, 2019 at 01:49PM"
loudness,1073,lwhsdeviceph21,"May 17, 2019 at 01:54PM"
loudness,1028,lwhsdeviceph21,"May 17, 2019 at 01:59PM"
loudness,1041,lwhsdeviceph21,"May 17, 2019 at 02:04PM"
loudness,1039,lwhsdeviceph21,"May 17, 2019 at 02:09PM"
loudness,1036,lwhsdeviceph21,"May 17, 2019 at 02:14PM"
loudness,1030,lwhsdeviceph21,"May 17, 2019 at 02:19PM"
loudness,1031,lwhsdeviceph21,"May 17, 2019 at 02:24PM"
loudness,1033,lwhsdeviceph21,"May 17, 2019 at 02:29PM"
loudness,1026,lwhsdeviceph21,"May 17, 2019 at 02:34PM"
loudness,1023,lwhsdeviceph21,"May 17, 2019 at 02:39PM"
loudness,1031,lwhsdeviceph21,"May 17, 2019 at 02:44PM"
loudness,1029,lwhsdeviceph21,"May 17, 2019 at 02:49PM"
loudness,1027,lwhsdeviceph21,"May 17, 2019 at 02:54PM"
loudness,1027,lwhsdeviceph21,"May 17, 2019 at 02:59PM"
loudness,1021,lwhsdeviceph21,"May 17, 2019 at 03:04PM"
loudness,1019,lwhsdeviceph21,"May 17, 2019 at 03:09PM"
loudness,1020,lwhsdeviceph21,"May 17, 2019 at 03:14PM"
loudness,1017,lwhsdeviceph21,"May 17, 2019 at 03:19PM"
loudness,1016,lwhsdeviceph21,"May 17, 2019 at 03:24PM"
loudness,1019,lwhsdeviceph21,"May 17, 2019 at 03:29PM"
